cell,donor,truth,pred
OA4_S3.26,OA4,EC,HTC
OA4_S3.27,OA4,HomC,HTC
OA4_S3.28,OA4,preHTC,preHTC
OA4_S3.29,OA4,preHTC,FC
OA4_S3.30,OA4,preHTC,preHTC
OA4_S3.31,OA4,HTC,HomC
OA4_S3.32,OA4,preHTC,preHTC
OA4_S4.1,OA4,preHTC,preHTC
OA4_S4.2,OA4,preHTC,preHTC
OA4_S4.3,OA4,FC,preHTC
OA4_S4.4,OA4,preHTC,FC
OA4_S4.5,OA4,preHTC,HomC
OA4_S4.6,OA4,preHTC,HTC
OA4_S4.8,OA4,preHTC,HomC
OA4_S4.10,OA4,preHTC,preHTC
OA4_S4.11,OA4,preHTC,preHTC
OA4_S4.13,OA4,HomC,HomC
OA4_S4.14,OA4,preHTC,preHTC
OA4_S4.15,OA4,FC,FC
OA4_S4.16,OA4,preHTC,preHTC
OA4_S4.17,OA4,preHTC,preHTC
OA4_S4.18,OA4,preHTC,preHTC
OA4_S4.19,OA4,preHTC,preHTC
OA4_S4.20,OA4,preHTC,preHTC
OA4_S4.21,OA4,preHTC,HomC
OA4_S4.22,OA4,preHTC,preHTC
OA4_S4.23,OA4,FC,preHTC
OA4_S4.24,OA4,preHTC,HomC
OA4_S4.25,OA4,FC,preHTC
OA4_S4.26,OA4,preHTC,FC
OA4_S4.27,OA4,preHTC,preHTC
OA4_S4.28,OA4,preHTC,HomC
OA4_S4.29,OA4,preHTC,preHTC
OA4_S4.30,OA4,preHTC,ProC
OA4_S4.31,OA4,preHTC,preHTC
OA4_S4.32,OA4,preHTC,FC
OA5_S0.1,OA5,RegC,RegC
OA5_S0.2,OA5,HTC,FC
OA5_S0.3,OA5,EC,EC
OA5_S0.4,OA5,HomC,HomC
OA5_S0.5,OA5,EC,EC
OA5_S0.6,OA5,RegC,ProC
OA5_S0.7,OA5,HomC,HomC
OA5_S0.9,OA5,EC,EC
OA5_S0.10,OA5,FC,FC
OA5_S0.11,OA5,EC,EC
OA5_S0.12,OA5,HomC,HomC
OA5_S0.13,OA5,EC,EC
OA5_S0.14,OA5,EC,EC
OA5_S0.15,OA5,EC,EC
OA5_S0.16,OA5,EC,EC
OA5_S0.17,OA5,EC,ProC
OA5_S0.18,OA5,RegC,HomC
OA5_S0.19,OA5,HomC,HomC
OA5_S0.20,OA5,RegC,FC
OA5_S0.21,OA5,EC,EC
OA5_S0.22,OA5,HomC,HomC
OA5_S0.23,OA5,EC,EC
OA5_S0.24,OA5,RegC,HTC
OA5_S0.25,OA5,HomC,HomC
OA5_S0.26,OA5,EC,EC
OA5_S0.27,OA5,RegC,RegC
OA5_S0.28,OA5,EC,EC
OA5_S0.29,OA5,HTC,HTC
OA5_S0.30,OA5,EC,EC
OA5_S0.31,OA5,HomC,HomC
OA5_S0.32,OA5,HomC,HomC
OA5_S1.1,OA5,RegC,HomC
OA5_S1.2,OA5,RegC,HTC
OA5_S1.3,OA5,HomC,HomC
OA5_S1.5,OA5,EC,EC
OA5_S1.6,OA5,EC,ProC
OA5_S1.7,OA5,HTC,HTC
OA5_S1.9,OA5,RegC,ProC
OA5_S1.10,OA5,RegC,RegC
OA5_S1.11,OA5,RegC,ProC
OA5_S1.12,OA5,RegC,RegC
OA5_S1.13,OA5,ProC,ProC
OA5_S1.14,OA5,RegC,FC
OA5_S1.15,OA5,ProC,ProC
OA5_S1.16,OA5,RegC,RegC
OA5_S1.17,OA5,RegC,RegC
OA5_S1.19,OA5,EC,ProC
OA5_S1.21,OA5,RegC,EC
OA5_S1.22,OA5,RegC,RegC
OA5_S1.23,OA5,HTC,HTC
OA5_S1.24,OA5,RegC,RegC
OA5_S1.25,OA5,RegC,EC
OA5_S1.26,OA5,RegC,EC
OA5_S1.27,OA5,HomC,HomC
OA5_S1.28,OA5,RegC,RegC
OA5_S1.29,OA5,EC,EC
OA5_S1.30,OA5,RegC,preHTC
OA5_S1.31,OA5,RegC,FC
OA5_S1.32,OA5,HomC,HomC
OA5_S2.1,OA5,RegC,preHTC
OA5_S2.3,OA5,RegC,preHTC
OA5_S2.4,OA5,HomC,HomC
OA5_S2.5,OA5,HTC,HTC
OA5_S2.6,OA5,RegC,preHTC
OA5_S2.7,OA5,RegC,FC
OA5_S2.8,OA5,RegC,preHTC
OA5_S2.9,OA5,preHTC,HTC
OA5_S2.10,OA5,RegC,FC
OA5_S2.11,OA5,HTC,HTC
OA5_S2.12,OA5,preHTC,preHTC
OA5_S2.13,OA5,HomC,HomC
OA5_S2.14,OA5,preHTC,preHTC
OA5_S2.15,OA5,preHTC,preHTC
OA5_S2.16,OA5,RegC,FC
OA5_S2.17,OA5,HomC,HomC
OA5_S2.18,OA5,RegC,HomC
OA5_S2.19,OA5,RegC,ProC
OA5_S2.20,OA5,RegC,preHTC
OA5_S2.21,OA5,HomC,preHTC
OA5_S2.22,OA5,preHTC,preHTC
OA5_S2.23,OA5,RegC,RegC
OA5_S2.24,OA5,ProC,ProC
OA5_S2.25,OA5,RegC,preHTC
OA5_S2.26,OA5,HTC,HTC
OA5_S2.27,OA5,HomC,HomC
OA5_S2.28,OA5,RegC,preHTC
OA5_S2.29,OA5,preHTC,HTC
OA5_S2.30,OA5,HTC,HTC
OA5_S2.31,OA5,preHTC,preHTC
OA5_S2.32,OA5,preHTC,preHTC
OA5_S3.1,OA5,EC,ProC
OA5_S3.3,OA5,EC,EC
OA5_S3.4,OA5,preHTC,preHTC
OA5_S3.5,OA5,preHTC,preHTC
OA5_S3.6,OA5,RegC,ProC
OA5_S3.7,OA5,EC,ProC
OA5_S3.9,OA5,RegC,HTC
OA5_S3.10,OA5,EC,EC
OA5_S3.11,OA5,EC,EC
OA5_S3.12,OA5,EC,HTC
OA5_S3.13,OA5,HomC,HomC
OA5_S3.14,OA5,RegC,EC
OA5_S3.15,OA5,HomC,HomC
OA5_S3.16,OA5,HomC,FC
OA5_S3.17,OA5,preHTC,preHTC
OA5_S3.18,OA5,EC,ProC
OA5_S3.20,OA5,EC,ProC
OA5_S3.21,OA5,EC,ProC
OA5_S3.22,OA5,preHTC,preHTC
OA5_S3.25,OA5,EC,HomC
OA5_S3.26,OA5,EC,EC
OA5_S3.27,OA5,EC,EC
OA5_S3.29,OA5,EC,ProC
OA5_S3.30,OA5,EC,EC
OA5_S3.31,OA5,EC,ProC
OA5_S3.32,OA5,EC,EC
OA5_S4.1,OA5,HTC,preHTC
OA5_S4.2,OA5,ProC,ProC
OA5_S4.3,OA5,preHTC,preHTC
OA5_S4.4,OA5,HomC,HTC
OA5_S4.5,OA5,HomC,RegC
OA5_S4.6,OA5,HTC,HTC
OA5_S4.7,OA5,preHTC,HTC
OA5_S4.8,OA5,FC,FC
OA5_S4.9,OA5,preHTC,preHTC
OA5_S4.10,OA5,preHTC,ProC
OA5_S4.11,OA5,FC,FC
OA5_S4.12,OA5,preHTC,HomC
OA5_S4.13,OA5,HomC,HomC
OA5_S4.14,OA5,FC,FC
OA5_S4.15,OA5,HTC,RegC
OA5_S4.16,OA5,preHTC,preHTC
OA5_S4.17,OA5,EC,ProC
OA5_S4.18,OA5,preHTC,preHTC
OA5_S4.19,OA5,FC,FC
OA5_S4.20,OA5,FC,FC
OA5_S4.21,OA5,ProC,ProC
OA5_S4.22,OA5,preHTC,preHTC
OA5_S4.23,OA5,HomC,HomC
OA5_S4.24,OA5,FC,FC
OA5_S4.25,OA5,FC,FC
OA5_S4.26,OA5,FC,FC
OA5_S4.27,OA5,preHTC,ProC
OA5_S4.28,OA5,preHTC,preHTC
OA5_S4.29,OA5,FC,FC
OA5_S4.30,OA5,preHTC,ProC
OA5_S4.31,OA5,ProC,ProC
OA5_S4.32,OA5,HomC,HTC
OA6_S0.1,OA6,RegC,HTC
OA6_S0.2,OA6,FC,FC
OA6_S0.3,OA6,EC,HTC
OA6_S0.4,OA6,EC,HTC
OA6_S0.5,OA6,RegC,HTC
OA6_S0.6,OA6,EC,EC
OA6_S0.7,OA6,RegC,FC
OA6_S0.9,OA6,EC,HTC
OA6_S0.10,OA6,EC,EC
OA6_S0.11,OA6,EC,HTC
OA6_S0.12,OA6,EC,EC
OA6_S0.13,OA6,HTC,HTC
OA6_S0.14,OA6,EC,EC
OA6_S0.15,OA6,EC,EC
OA6_S0.16,OA6,preHTC,RegC
OA6_S0.17,OA6,EC,EC
OA6_S0.18,OA6,RegC,RegC
OA6_S0.19,OA6,EC,EC
OA6_S0.20,OA6,RegC,FC
OA6_S0.21,OA6,EC,EC
OA6_S0.22,OA6,EC,EC
OA6_S0.24,OA6,HomC,HomC
OA6_S0.25,OA6,RegC,RegC
OA6_S0.26,OA6,HomC,HomC
OA6_S0.27,OA6,RegC,RegC
OA6_S0.28,OA6,RegC,HomC
OA6_S0.29,OA6,EC,EC
OA6_S0.30,OA6,EC,EC
OA6_S0.31,OA6,EC,EC
OA6_S0.32,OA6,EC,EC
OA6_S1.1,OA6,EC,ProC
OA6_S1.2,OA6,ProC,ProC
OA6_S1.3,OA6,RegC,HomC
OA6_S1.4,OA6,EC,ProC
OA6_S1.5,OA6,HomC,HomC
OA6_S1.6,OA6,RegC,FC
OA6_S1.7,OA6,HTC,HTC
OA6_S1.8,OA6,RegC,HomC
OA6_S1.9,OA6,EC,RegC
OA6_S1.10,OA6,HTC,HTC
OA6_S1.11,OA6,HTC,HomC
OA6_S1.12,OA6,EC,HTC
OA6_S1.13,OA6,EC,EC
OA6_S1.14,OA6,EC,EC
OA6_S1.15,OA6,EC,EC
OA6_S1.16,OA6,EC,EC
OA6_S1.17,OA6,EC,FC
OA6_S1.19,OA6,EC,EC
OA6_S1.20,OA6,EC,EC
OA6_S1.21,OA6,ProC,ProC
OA6_S1.22,OA6,ProC,ProC
OA6_S1.23,OA6,HomC,HomC
OA6_S1.24,OA6,EC,EC
OA6_S1.25,OA6,HomC,HomC
OA6_S1.26,OA6,EC,EC
OA6_S1.27,OA6,EC,EC
OA6_S1.28,OA6,EC,EC
OA6_S1.29,OA6,HomC,HomC
OA6_S1.30,OA6,EC,HomC
OA6_S1.31,OA6,HomC,HomC
OA6_S1.32,OA6,EC,HTC
OA6_S2.1,OA6,ProC,ProC
OA6_S2.2,OA6,EC,EC
OA6_S2.3,OA6,ProC,preHTC
OA6_S2.4,OA6,EC,HTC
OA6_S2.5,OA6,EC,HTC
OA6_S2.6,OA6,ProC,ProC
OA6_S2.7,OA6,EC,EC
OA6_S2.8,OA6,ProC,ProC
OA6_S2.9,OA6,ProC,ProC
OA6_S2.10,OA6,ProC,EC
OA6_S2.11,OA6,ProC,ProC
OA6_S2.12,OA6,EC,EC
OA6_S2.15,OA6,ProC,ProC
OA6_S2.16,OA6,preHTC,preHTC
OA6_S2.17,OA6,preHTC,preHTC
OA6_S2.18,OA6,preHTC,FC
OA6_S2.20,OA6,ProC,ProC
OA6_S2.21,OA6,EC,EC
OA6_S2.22,OA6,preHTC,preHTC
OA6_S2.23,OA6,EC,EC
OA6_S2.24,OA6,preHTC,preHTC
OA6_S2.25,OA6,ProC,ProC
OA6_S2.26,OA6,ProC,ProC
OA6_S2.27,OA6,ProC,ProC
OA6_S2.28,OA6,EC,EC
OA6_S2.29,OA6,EC,HTC
OA6_S2.30,OA6,ProC,ProC
OA6_S2.31,OA6,ProC,ProC
OA6_S2.32,OA6,ProC,ProC
OA6_S3.1,OA6,preHTC,HTC
OA6_S3.2,OA6,ProC,ProC
OA6_S3.3,OA6,preHTC,preHTC
OA6_S3.4,OA6,preHTC,preHTC
OA6_S3.5,OA6,preHTC,HomC
OA6_S3.6,OA6,preHTC,preHTC
OA6_S3.7,OA6,preHTC,ProC
OA6_S3.8,OA6,ProC,ProC
OA6_S3.9,OA6,preHTC,preHTC
OA6_S3.10,OA6,preHTC,preHTC
OA6_S3.11,OA6,preHTC,preHTC
OA6_S3.12,OA6,preHTC,HTC
OA6_S3.13,OA6,HomC,HomC
OA6_S3.14,OA6,preHTC,preHTC
OA6_S3.15,OA6,ProC,ProC
OA6_S3.16,OA6,preHTC,preHTC
OA6_S3.17,OA6,ProC,ProC
OA6_S3.18,OA6,preHTC,preHTC
OA6_S3.19,OA6,preHTC,preHTC
OA6_S3.20,OA6,preHTC,preHTC
OA6_S3.21,OA6,ProC,ProC
OA6_S3.22,OA6,preHTC,preHTC
OA6_S3.24,OA6,ProC,ProC
OA6_S3.25,OA6,ProC,ProC
OA6_S3.26,OA6,ProC,ProC
OA6_S3.27,OA6,preHTC,preHTC
OA6_S3.28,OA6,preHTC,HomC
OA6_S3.29,OA6,preHTC,preHTC
OA6_S3.30,OA6,ProC,ProC
OA6_S3.31,OA6,preHTC,preHTC
OA6_S3.32,OA6,preHTC,preHTC
OA6_S4.1,OA6,preHTC,preHTC
OA6_S4.2,OA6,preHTC,preHTC
OA6_S4.3,OA6,preHTC,ProC
OA6_S4.4,OA6,preHTC,preHTC
OA6_S4.5,OA6,preHTC,preHTC
OA6_S4.6,OA6,preHTC,preHTC
OA6_S4.7,OA6,preHTC,preHTC
OA6_S4.8,OA6,preHTC,preHTC
OA6_S4.9,OA6,preHTC,preHTC
OA6_S4.10,OA6,preHTC,preHTC
OA6_S4.11,OA6,preHTC,preHTC
OA6_S4.12,OA6,preHTC,preHTC
OA6_S4.13,OA6,preHTC,preHTC
OA6_S4.14,OA6,preHTC,preHTC
OA6_S4.15,OA6,preHTC,preHTC
OA6_S4.16,OA6,preHTC,ProC
OA6_S4.17,OA6,preHTC,preHTC
OA6_S4.18,OA6,HomC,HomC
OA6_S4.19,OA6,preHTC,preHTC
OA6_S4.20,OA6,ProC,ProC
OA6_S4.21,OA6,preHTC,ProC
OA6_S4.22,OA6,preHTC,preHTC
OA6_S4.23,OA6,ProC,ProC
OA6_S4.24,OA6,preHTC,preHTC
OA6_S4.25,OA6,preHTC,preHTC
OA6_S4.26,OA6,preHTC,preHTC
OA6_S4.27,OA6,preHTC,preHTC
OA6_S4.28,OA6,preHTC,preHTC
OA6_S4.29,OA6,preHTC,preHTC
OA6_S4.30,OA6,ProC,ProC
OA6_S4.31,OA6,preHTC,preHTC
OA6_S4.32,OA6,preHTC,preHTC
OA7_S0.1,OA7,EC,EC
OA7_S0.2,OA7,RegC,RegC
OA7_S0.3,OA7,RegC,RegC
OA7_S0.4,OA7,ProC,ProC
OA7_S0.6,OA7,HomC,HomC
OA7_S0.7,OA7,EC,ProC
OA7_S0.8,OA7,ProC,EC
OA7_S0.9,OA7,EC,EC
OA7_S0.10,OA7,RegC,HomC
OA7_S0.11,OA7,EC,EC
OA7_S0.12,OA7,RegC,HTC
OA7_S0.13,OA7,HomC,HomC
OA7_S0.14,OA7,ProC,EC
OA7_S0.15,OA7,RegC,FC
OA7_S0.16,OA7,RegC,RegC
OA7_S0.17,OA7,ProC,ProC
OA7_S0.18,OA7,EC,RegC
OA7_S0.19,OA7,RegC,EC
OA7_S0.20,OA7,EC,ProC
OA7_S0.21,OA7,EC,HTC
OA7_S0.22,OA7,ProC,ProC
OA7_S0.24,OA7,RegC,EC
OA7_S0.25,OA7,EC,RegC
OA7_S0.26,OA7,RegC,HTC
OA7_S0.27,OA7,EC,RegC
OA7_S0.28,OA7,HomC,HomC
OA7_S0.29,OA7,ProC,ProC
OA7_S0.30,OA7,RegC,HomC
OA7_S0.31,OA7,EC,EC
OA7_S0.32,OA7,EC,ProC
OA7_S1.1,OA7,EC,EC
OA7_S1.3,OA7,EC,EC
OA7_S1.4,OA7,HTC,HTC
OA7_S1.5,OA7,HomC,HomC
OA7_S1.6,OA7,EC,EC
OA7_S1.7,OA7,RegC,ProC
OA7_S1.8,OA7,preHTC,ProC
OA7_S1.9,OA7,EC,ProC
OA7_S1.10,OA7,ProC,ProC
OA7_S1.11,OA7,EC,EC
OA7_S1.13,OA7,EC,EC
OA7_S1.14,OA7,RegC,EC
OA7_S1.15,OA7,EC,ProC
OA7_S1.16,OA7,HTC,HTC
OA7_S1.17,OA7,HTC,HTC
OA7_S1.18,OA7,EC,HTC
OA7_S1.19,OA7,EC,EC
OA7_S1.20,OA7,EC,EC
OA7_S1.21,OA7,HomC,HomC
OA7_S1.22,OA7,ProC,ProC
OA7_S1.23,OA7,EC,EC
OA7_S1.24,OA7,EC,EC
OA7_S1.25,OA7,EC,ProC
OA7_S1.26,OA7,EC,EC
OA7_S1.27,OA7,EC,EC
OA7_S1.28,OA7,EC,EC
OA7_S1.29,OA7,EC,EC
OA7_S1.30,OA7,ProC,ProC
OA7_S1.31,OA7,RegC,HomC
OA7_S1.32,OA7,HomC,HomC
OA7_S2.1,OA7,preHTC,preHTC
OA7_S2.2,OA7,HomC,HomC
OA7_S2.3,OA7,ProC,ProC
OA7_S2.4,OA7,RegC,RegC
OA7_S2.5,OA7,ProC,preHTC
OA7_S2.7,OA7,RegC,HomC
OA7_S2.8,OA7,RegC,RegC
OA7_S2.9,OA7,preHTC,preHTC
OA7_S2.10,OA7,preHTC,preHTC
OA7_S2.11,OA7,preHTC,preHTC
OA7_S2.12,OA7,RegC,preHTC
OA7_S2.13,OA7,preHTC,preHTC
OA7_S2.14,OA7,preHTC,preHTC
OA7_S2.16,OA7,preHTC,preHTC
OA7_S2.17,OA7,ProC,ProC
OA7_S2.18,OA7,preHTC,preHTC
OA7_S2.19,OA7,preHTC,ProC
OA7_S2.20,OA7,HomC,HomC
OA7_S2.21,OA7,preHTC,preHTC
OA7_S2.22,OA7,ProC,ProC
OA7_S2.23,OA7,preHTC,preHTC
OA7_S2.24,OA7,preHTC,FC
OA7_S2.25,OA7,preHTC,preHTC
OA7_S2.26,OA7,RegC,FC
OA7_S2.27,OA7,HomC,HomC
OA7_S2.28,OA7,preHTC,preHTC
OA7_S2.29,OA7,preHTC,preHTC
OA7_S2.30,OA7,preHTC,preHTC
OA7_S2.31,OA7,preHTC,RegC
OA7_S2.32,OA7,ProC,EC
OA7_S3.1,OA7,preHTC,ProC
OA7_S3.2,OA7,EC,EC
OA7_S3.3,OA7,preHTC,preHTC
OA7_S3.4,OA7,preHTC,preHTC
OA7_S3.5,OA7,preHTC,preHTC
OA7_S3.6,OA7,preHTC,ProC
OA7_S3.7,OA7,preHTC,preHTC
OA7_S3.8,OA7,preHTC,preHTC
OA7_S3.9,OA7,preHTC,HomC
OA7_S3.10,OA7,preHTC,preHTC
OA7_S3.11,OA7,preHTC,preHTC
OA7_S3.12,OA7,preHTC,RegC
OA7_S3.13,OA7,preHTC,preHTC
OA7_S3.14,OA7,preHTC,ProC
OA7_S3.15,OA7,ProC,ProC
OA7_S3.16,OA7,ProC,ProC
OA7_S3.17,OA7,preHTC,preHTC
OA7_S3.18,OA7,ProC,ProC
OA7_S3.19,OA7,preHTC,preHTC
OA7_S3.20,OA7,preHTC,preHTC
OA7_S3.21,OA7,preHTC,preHTC
OA7_S3.22,OA7,ProC,ProC
OA7_S3.24,OA7,preHTC,ProC
OA7_S3.25,OA7,ProC,ProC
OA7_S3.26,OA7,preHTC,preHTC
OA7_S3.27,OA7,ProC,ProC
OA7_S3.28,OA7,preHTC,ProC
OA7_S3.29,OA7,preHTC,ProC
OA7_S3.30,OA7,preHTC,preHTC
OA7_S3.31,OA7,ProC,ProC
OA7_S3.32,OA7,ProC,ProC
OA7_S4.2,OA7,HTC,FC
OA7_S4.3,OA7,HTC,HTC
OA7_S4.4,OA7,HTC,HTC
OA7_S4.5,OA7,FC,FC
OA7_S4.6,OA7,HTC,HTC
OA7_S4.7,OA7,HTC,EC
OA7_S4.8,OA7,HTC,HTC
OA7_S4.9,OA7,FC,FC
OA7_S4.10,OA7,HTC,HTC
OA7_S4.11,OA7,HTC,HTC
OA7_S4.12,OA7,HTC,HTC
OA7_S4.13,OA7,HTC,HomC
OA7_S4.14,OA7,HTC,HTC
OA7_S4.15,OA7,HTC,HomC
OA7_S4.16,OA7,HTC,ProC
OA7_S4.17,OA7,HTC,FC
OA7_S4.18,OA7,HTC,HTC
OA7_S4.19,OA7,HTC,HTC
OA7_S4.20,OA7,HTC,HTC
OA7_S4.21,OA7,HTC,HTC
OA7_S4.22,OA7,HTC,ProC
OA7_S4.23,OA7,HTC,FC
OA7_S4.24,OA7,HTC,HTC
OA7_S4.25,OA7,HTC,HTC
OA7_S4.26,OA7,FC,HomC
OA7_S4.27,OA7,HTC,FC
OA7_S4.28,OA7,HTC,HTC
OA7_S4.29,OA7,HTC,HTC
OA7_S4.30,OA7,HTC,FC
OA7_S4.31,OA7,HTC,HTC
OA7_S4.32,OA7,HTC,HTC
OA8_S0.1,OA8,HTC,HomC
OA8_S0.2,OA8,EC,EC
OA8_S0.3,OA8,EC,ProC
OA8_S0.4,OA8,HTC,HTC
OA8_S0.7,OA8,EC,EC
OA8_S0.9,OA8,EC,ProC
OA8_S0.10,OA8,EC,EC
OA8_S0.11,OA8,EC,EC
OA8_S0.12,OA8,EC,EC
OA8_S0.13,OA8,EC,EC
OA8_S0.14,OA8,EC,EC
OA8_S0.15,OA8,EC,EC
OA8_S0.16,OA8,EC,EC
OA8_S0.17,OA8,HTC,HTC
OA8_S0.18,OA8,EC,EC
OA8_S0.19,OA8,EC,EC
OA8_S0.21,OA8,EC,EC
OA8_S0.22,OA8,EC,EC
OA8_S0.24,OA8,HomC,HomC
OA8_S0.25,OA8,EC,ProC
OA8_S0.26,OA8,EC,HomC
OA8_S0.27,OA8,EC,EC
OA8_S0.28,OA8,EC,EC
OA8_S0.29,OA8,RegC,HomC
OA8_S0.30,OA8,EC,EC
OA8_S0.31,OA8,RegC,RegC
OA8_S0.32,OA8,EC,EC
OA8_S1.1,OA8,HTC,HTC
OA8_S1.2,OA8,HTC,HTC
OA8_S1.3,OA8,HTC,HomC
OA8_S1.4,OA8,HTC,HomC
OA8_S1.5,OA8,EC,HTC
OA8_S1.6,OA8,HTC,HomC
OA8_S1.9,OA8,HTC,HomC
OA8_S1.10,OA8,HTC,HTC
OA8_S1.11,OA8,HTC,HomC
OA8_S1.12,OA8,HTC,RegC
OA8_S1.13,OA8,HTC,HTC
OA8_S1.14,OA8,HTC,HTC
OA8_S1.15,OA8,RegC,RegC
OA8_S1.16,OA8,HTC,HomC
OA8_S1.17,OA8,HTC,HomC
OA8_S1.18,OA8,HTC,HTC
OA8_S1.19,OA8,HTC,HTC
OA8_S1.20,OA8,HTC,HTC
OA8_S1.21,OA8,HTC,HomC
OA8_S1.22,OA8,HTC,HomC
OA8_S1.23,OA8,HTC,HTC
OA8_S1.24,OA8,HTC,HTC
OA8_S1.25,OA8,HTC,FC
OA8_S1.26,OA8,HTC,HTC
OA8_S1.28,OA8,HTC,HomC
OA8_S1.29,OA8,HTC,HTC
OA8_S1.30,OA8,HTC,HTC
OA8_S1.31,OA8,HTC,FC
OA8_S1.32,OA8,HTC,FC
OA8_S2.1,OA8,ProC,FC
OA8_S2.2,OA8,ProC,ProC
OA8_S2.3,OA8,ProC,preHTC
OA8_S2.4,OA8,ProC,ProC
OA8_S2.5,OA8,ProC,ProC
OA8_S2.6,OA8,ProC,ProC
OA8_S2.7,OA8,HomC,HomC
OA8_S2.8,OA8,EC,ProC
OA8_S2.9,OA8,ProC,ProC
OA8_S2.10,OA8,HomC,HomC
OA8_S2.11,OA8,ProC,ProC
OA8_S2.13,OA8,ProC,preHTC
OA8_S2.14,OA8,HomC,HomC
OA8_S2.15,OA8,ProC,ProC
OA8_S2.16,OA8,EC,ProC
OA8_S2.17,OA8,ProC,ProC
OA8_S2.18,OA8,ProC,ProC
OA8_S2.19,OA8,EC,EC
OA8_S2.20,OA8,ProC,ProC
OA8_S2.21,OA8,ProC,preHTC
OA8_S2.22,OA8,preHTC,preHTC
OA8_S2.23,OA8,ProC,ProC
OA8_S2.24,OA8,ProC,HomC
OA8_S2.25,OA8,preHTC,preHTC
OA8_S2.26,OA8,ProC,preHTC
OA8_S2.27,OA8,ProC,ProC
OA8_S2.28,OA8,ProC,ProC
OA8_S2.29,OA8,ProC,ProC
OA8_S2.30,OA8,ProC,ProC
OA8_S2.31,OA8,ProC,ProC
OA8_S2.32,OA8,HomC,HomC
OA8_S3.1,OA8,ProC,ProC
OA8_S3.2,OA8,ProC,ProC
OA8_S3.3,OA8,ProC,ProC
OA8_S3.4,OA8,ProC,ProC
OA8_S3.5,OA8,ProC,ProC
OA8_S3.6,OA8,ProC,ProC
OA8_S3.7,OA8,ProC,preHTC
OA8_S3.8,OA8,ProC,ProC
OA8_S3.9,OA8,ProC,ProC
OA8_S3.10,OA8,ProC,ProC
OA8_S3.11,OA8,ProC,ProC
OA8_S3.12,OA8,ProC,ProC
OA8_S3.13,OA8,ProC,ProC
OA8_S3.14,OA8,preHTC,preHTC
OA8_S3.15,OA8,ProC,ProC
OA8_S3.16,OA8,preHTC,preHTC
OA8_S3.17,OA8,ProC,ProC
OA8_S3.18,OA8,ProC,ProC
OA8_S3.19,OA8,preHTC,preHTC
OA8_S3.20,OA8,ProC,ProC
OA8_S3.22,OA8,EC,ProC
OA8_S3.23,OA8,ProC,ProC
OA8_S3.24,OA8,ProC,ProC
OA8_S3.25,OA8,ProC,preHTC
OA8_S3.26,OA8,ProC,ProC
OA8_S3.27,OA8,ProC,ProC
OA8_S3.28,OA8,ProC,ProC
OA8_S3.29,OA8,ProC,ProC
OA8_S3.30,OA8,ProC,ProC
OA8_S3.31,OA8,EC,ProC
OA8_S3.32,OA8,ProC,ProC
OA8_S4.1,OA8,HTC,FC
OA8_S4.2,OA8,HTC,HomC
OA8_S4.3,OA8,HTC,HTC
OA8_S4.4,OA8,HTC,HTC
OA8_S4.5,OA8,HTC,HTC
OA8_S4.6,OA8,HTC,HTC
OA8_S4.7,OA8,HTC,FC
OA8_S4.8,OA8,HTC,HTC
OA8_S4.9,OA8,HTC,HTC
OA8_S4.10,OA8,HTC,HTC
OA8_S4.11,OA8,HTC,FC
OA8_S4.14,OA8,HTC,HTC
OA8_S4.15,OA8,HTC,HTC
OA8_S4.16,OA8,HTC,HTC
OA8_S4.17,OA8,HTC,HTC
OA8_S4.18,OA8,HTC,HTC
OA8_S4.19,OA8,HTC,HTC
OA8_S4.20,OA8,HTC,HTC
OA8_S4.21,OA8,HTC,HomC
OA8_S4.22,OA8,HTC,HTC
OA8_S4.23,OA8,HTC,HTC
OA8_S4.24,OA8,HTC,HTC
OA8_S4.25,OA8,HTC,HTC
OA8_S4.26,OA8,HTC,HTC
OA8_S4.28,OA8,HTC,HomC
OA8_S4.29,OA8,HTC,HTC
OA8_S4.30,OA8,HTC,HTC
OA8_S4.31,OA8,HTC,FC
OA8_S4.32,OA8,HTC,HTC
OA9_S0.1,OA9,HomC,HomC
OA9_S0.2,OA9,EC,EC
OA9_S0.3,OA9,EC,EC
OA9_S0.4,OA9,RegC,EC
OA9_S0.5,OA9,RegC,EC
OA9_S0.6,OA9,RegC,HomC
OA9_S0.7,OA9,RegC,FC
OA9_S0.8,OA9,RegC,RegC
OA9_S0.9,OA9,EC,EC
OA9_S0.10,OA9,RegC,HTC
OA9_S0.11,OA9,RegC,HomC
OA9_S0.12,OA9,RegC,EC
OA9_S0.13,OA9,HomC,HomC
OA9_S0.14,OA9,ProC,ProC
OA9_S0.15,OA9,HTC,HomC
OA9_S0.16,OA9,RegC,EC
OA9_S0.17,OA9,RegC,EC
OA9_S0.18,OA9,RegC,EC
OA9_S0.19,OA9,RegC,EC
OA9_S0.20,OA9,RegC,HomC
OA9_S0.21,OA9,EC,EC
OA9_S0.22,OA9,RegC,HomC
OA9_S0.23,OA9,RegC,FC
OA9_S0.24,OA9,HomC,HomC
OA9_S0.25,OA9,EC,EC
OA9_S0.26,OA9,RegC,FC
OA9_S0.27,OA9,RegC,RegC
OA9_S0.28,OA9,RegC,ProC
OA9_S0.29,OA9,RegC,ProC
OA9_S0.30,OA9,HomC,HomC
OA9_S0.31,OA9,RegC,HomC
